name,handedness,height,weight,avg,HR
Ron Davis,Right-Handed,72,175,0.233,10
Elio Chacon,Right-Handed,69,160,0.232,4
Vern Fuller,Right-Handed,73,170,0.232,14
Larry Stahl,Left-Handed,72,175,0.232,36
Bob Tillman,Right-Handed,76,205,0.232,79
Ron Gardenhire,Right-Handed,72,175,0.232,4
Buck Rodgers,Both-Handed,74,190,0.232,31
Frank Duffy,Right-Handed,73,180,0.232,26
Brad Wellman,Right-Handed,72,170,0.231,6
Ted Kubiak,Both-Handed,72,175,0.231,13
Roger Metzger,Both-Handed,72,165,0.231,5
Ken Walters,Right-Handed,73,180,0.231,11
Jim Beauchamp,Right-Handed,74,190,0.231,14
Syd O'Brien,Right-Handed,73,185,0.23,24
Billy Smith,Both-Handed,74,185,0.23,17
Steve Whitaker,Left-Handed,72,180,0.23,24
Lenn Sakata,Right-Handed,69,160,0.23,25
Cap Peterson,Right-Handed,74,195,0.23,19
Sandy Valdespino,Left-Handed,68,170,0.23,7
Barry Foote,Right-Handed,75,205,0.23,57
Gary Alexander,Right-Handed,74,195,0.23,55
John Bateman,Right-Handed,75,210,0.23,81
Winston Llenas,Right-Handed,70,165,0.23,3
Wayne Comer,Right-Handed,70,175,0.229,16
Dave McKay,Both-Handed,73,195,0.229,21
Bob Didier,Both-Handed,72,190,0.229,0
Mike Champion,Right-Handed,72,185,0.229,2
Dick Phillips,Left-Handed,72,180,0.229,12
Duane Walker,Left-Handed,72,185,0.229,24
Vic Correll,Right-Handed,70,185,0.229,29
Glenn Borgmann,Right-Handed,76,210,0.229,16
Tommie Aaron,Right-Handed,75,190,0.229,13
Dave Hostetler,Right-Handed,76,215,0.229,37
Doug Clemens,Left-Handed,72,180,0.229,12
Don Leppert,Right-Handed,74,220,0.229,15
Mike Brumley,Left-Handed,70,195,0.229,5
Gene Michael,Both-Handed,74,183,0.229,15
Joe Nossek,Right-Handed,72,178,0.228,3
Mark Belanger,Right-Handed,73,170,0.228,20
Steve Yeager,Right-Handed,72,190,0.228,102
Brian Giles,Right-Handed,73,165,0.228,10
Hal Lanier,Right-Handed,74,180,0.228,8
Russ Gibson,Right-Handed,73,195,0.228,8
Tim Blackwell,Both-Handed,71,170,0.228,6
Johnny Lewis,Left-Handed,73,189,0.227,22
Sal Butera,Right-Handed,72,190,0.227,8
Dick Billings,Right-Handed,73,195,0.227,16
Chris Bando,Both-Handed,72,195,0.227,27
Larry Lintz,Both-Handed,69,150,0.227,0
Mike Fiore,Left-Handed,72,175,0.227,13
Bill Voss,Left-Handed,74,160,0.227,19
Jim Traber,Left-Handed,72,194,0.227,27
Ken Suarez,Right-Handed,69,175,0.227,5
Tommie Reynolds,Right-Handed,74,190,0.226,12
Mike Richardt,Right-Handed,72,170,0.226,4
Mike Sadek,Right-Handed,69,165,0.226,5
Jim Gosger,Left-Handed,71,185,0.226,30
Buddy Bradford,Right-Handed,71,170,0.226,52
Nate Oliver,Right-Handed,70,160,0.226,2
Catfish Hunter,Right-Handed,72,190,0.226,6
Bob Barton,Right-Handed,72,175,0.226,9
Pete Mackanin,Right-Handed,74,190,0.226,30
Buck Martinez,Right-Handed,70,190,0.225,58
Bobby Cox,Right-Handed,71,180,0.225,9
Tom Satriano,Left-Handed,73,185,0.225,21
Paul Casanova,Right-Handed,76,180,0.225,50
Hector Cruz,Right-Handed,71,170,0.225,39
Tim Laudner,Right-Handed,75,212,0.225,77
Gorman Thomas,Right-Handed,74,210,0.225,268
Rich McKinney,Right-Handed,71,185,0.225,20
John Kennedy,Right-Handed,72,185,0.225,32
Jeff Newman,Right-Handed,74,215,0.224,63
Ed Brinkman,Right-Handed,72,170,0.224,60
Enzo Hernandez,Right-Handed,68,155,0.224,2
Carmen Fanzone,Right-Handed,72,200,0.224,20
Roger Repoz,Left-Handed,75,190,0.224,82
Dick Nen,Left-Handed,74,200,0.224,21
Bob Burda,Left-Handed,71,174,0.224,13
Danny Walton,Right-Handed,72,195,0.223,28
Joe Lahoud,Left-Handed,73,198,0.223,65
Marc Hill,Right-Handed,75,205,0.223,34
Nelson Mathews,Right-Handed,76,195,0.223,22
Tim Johnson,Left-Handed,73,170,0.223,0
Sam Bowens,Right-Handed,73,188,0.223,45
Andres Mora,Right-Handed,72,180,0.223,27
Jimmie Schaffer,Right-Handed,69,170,0.223,11
Kevin Bell,Right-Handed,72,195,0.222,13
Johnnie LeMaster,Right-Handed,74,165,0.222,22
Duffy Dyer,Right-Handed,72,187,0.221,30
Larry Cox,Right-Handed,70,178,0.221,12
Ken Gerhart,Right-Handed,72,190,0.221,24
Gary Allenson,Right-Handed,71,185,0.221,19
Bob Jones,Left-Handed,74,195,0.221,20
Rick Renick,Right-Handed,72,188,0.221,20
Jerry Buchek,Right-Handed,71,185,0.22,22
Tim Cullen,Right-Handed,73,185,0.22,9
Ed Crosby,Left-Handed,74,175,0.22,0
Danny Ainge,Right-Handed,76,175,0.22,2
Jim Nettles,Left-Handed,72,186,0.22,16
Pedro Garcia,Right-Handed,70,175,0.22,37
Rick Auerbach,Right-Handed,72,165,0.22,9
Todd Cruz,Right-Handed,72,175,0.22,34
Mike Fischlin,Right-Handed,73,165,0.22,3
Ellie Hendricks,Left-Handed,73,175,0.22,62
Bob Coluccio,Right-Handed,71,183,0.22,26
Ted Ford,Right-Handed,70,180,0.219,17
Craig Robinson,Right-Handed,70,165,0.219,0
John Boccabella,Right-Handed,73,195,0.219,26
Al Weis,Both-Handed,72,160,0.219,7
Jim Anderson,Right-Handed,72,170,0.218,13
Stan Papi,Right-Handed,72,170,0.218,7
Tucker Ashford,Right-Handed,73,195,0.218,6
Dal Maxvill,Right-Handed,71,157,0.217,6
Vic Harris,Both-Handed,71,165,0.217,13
Darrel Chaney,Both-Handed,74,188,0.217,14
Hector Torres,Right-Handed,72,175,0.216,18
Joe Lovitto,Both-Handed,72,185,0.216,4
Steve Swisher,Right-Handed,74,205,0.216,20
Pat Corrales,Right-Handed,72,180,0.216,4
Billy Bryan,Left-Handed,76,200,0.216,41
Howie Goss,Right-Handed,76,204,0.216,11
Fred Stanley,Right-Handed,70,165,0.216,10
John Stephenson,Left-Handed,71,180,0.216,12
Larry Haney,Right-Handed,74,195,0.215,12
Phil Roof,Right-Handed,74,190,0.215,43
Jose Arcia,Right-Handed,75,170,0.215,1
Mario Mendoza,Right-Handed,71,170,0.215,4
Steve Renko,Right-Handed,77,230,0.215,6
Tom Matchick,Left-Handed,73,173,0.215,4
Skip Jutze,Right-Handed,71,190,0.215,3
Bobby Wine,Right-Handed,73,187,0.215,30
Luis Alvarado,Right-Handed,69,162,0.214,5
Dave Duncan,Right-Handed,74,190,0.214,109
Jim Price,Right-Handed,72,192,0.214,18
Jeff Torborg,Right-Handed,72,195,0.214,8
Hal King,Left-Handed,73,200,0.214,24
Frank Quilici,Right-Handed,73,170,0.214,5
Dave Hilton,Right-Handed,71,191,0.213,6
Alan Knicely,Right-Handed,72,190,0.213,12
Ken Rudolph,Right-Handed,73,180,0.213,6
Curt Motton,Right-Handed,68,164,0.213,25
Dick Tracewski,Right-Handed,71,160,0.213,8
Dave Campbell,Right-Handed,73,180,0.213,20
Bob Forsch,Right-Handed,76,200,0.213,12
Mick Kelleher,Right-Handed,69,176,0.213,0
Rusty Torres,Both-Handed,70,175,0.212,35
Angel Salazar,Right-Handed,72,180,0.212,2
Ned Yost,Right-Handed,73,190,0.212,16
Rudy Meoli,Left-Handed,69,165,0.212,2
Dave Nicholson,Right-Handed,74,215,0.212,61
Jack Heidemann,Right-Handed,72,175,0.211,9
Terry Humphrey,Right-Handed,75,185,0.211,6
Jerry Narron,Left-Handed,75,205,0.211,21
Steve Jeltz,Both-Handed,71,180,0.21,5
Luis Gomez,Right-Handed,69,150,0.21,0
Jackie Hernandez,Right-Handed,71,165,0.208,12
Bobby Klaus,Right-Handed,70,170,0.208,6
Dick Simpson,Right-Handed,76,176,0.207,15
Tom Lawless,Right-Handed,71,170,0.207,2
Steve Huntz,Both-Handed,73,204,0.206,16
Don Mason,Left-Handed,71,160,0.205,3
Tom Nieto,Right-Handed,73,193,0.205,5
George Smith,Right-Handed,70,170,0.205,9
Buddy Biancalana,Both-Handed,71,160,0.205,6
Jerry Zimmerman,Right-Handed,74,185,0.204,3
Jim Mason,Left-Handed,74,185,0.203,12
John Hale,Left-Handed,74,195,0.201,14
Jim Maloney,Left-Handed,74,190,0.201,7
Steve Carlton,Left-Handed,76,210,0.201,13
Jim Rooker,Right-Handed,72,195,0.201,7
Doug Frobel,Left-Handed,76,196,0.201,20
Bob Uecker,Right-Handed,73,190,0.2,14
Tom Egan,Right-Handed,76,218,0.2,22
Doug Camilli,Right-Handed,71,195,0.199,18
Frank Fernandez,Right-Handed,72,185,0.199,39
Orlando Mercado,Right-Handed,72,180,0.199,7
Bob Davis,Right-Handed,72,180,0.197,6
Jim French,Left-Handed,68,180,0.196,5
Rick Wise,Right-Handed,73,180,0.195,15
Rich Morales,Right-Handed,71,170,0.195,6
Dan Briggs,Left-Handed,72,180,0.195,12
Dave Roberts,Left-Handed,75,195,0.194,7
Mike Ryan,Right-Handed,74,205,0.193,28
Mike Krukow,Right-Handed,77,205,0.193,5
Luis Pujols,Right-Handed,74,175,0.193,6
Tony Cloninger,Right-Handed,72,210,0.192,11
Ray Sadecki,Left-Handed,71,180,0.191,5
Ron Clark,Right-Handed,70,175,0.189,5
Bill Plummer,Right-Handed,73,190,0.188,14
Dick Ruthven,Right-Handed,75,190,0.183,1
Tommy Dean,Right-Handed,72,165,0.18,4
Ray Oyler,Right-Handed,71,165,0.175,15
Sonny Siebert,Right-Handed,75,190,0.173,12
Steve Blass,Right-Handed,72,165,0.172,1
Andy Messersmith,Right-Handed,73,200,0.17,5
John Denny,Right-Handed,75,185,0.17,0
Phil Niekro,Right-Handed,73,180,0.169,7
J.R. Richard,Right-Handed,80,222,0.168,10
Jerry Reuss,Left-Handed,77,200,0.167,1
Fergie Jenkins,Right-Handed,77,205,0.165,13
Juan Marichal,Right-Handed,72,185,0.165,4
Luis Tiant,Right-Handed,72,180,0.164,5
Ken Holtzman,Right-Handed,74,175,0.163,2
Jim Barr,Right-Handed,75,205,0.162,1
John Vukovich,Right-Handed,73,187,0.161,6
Mel Stottlemyre,Right-Handed,73,178,0.16,7
Fritz Peterson,Both-Handed,72,185,0.159,2
Ron Reed,Right-Handed,78,215,0.158,0
Tommy John,Right-Handed,75,180,0.157,5
Joe Niekro,Right-Handed,73,185,0.156,1
Carl Morton,Right-Handed,72,200,0.156,7
Tom Seaver,Right-Handed,73,195,0.154,12
Sam McDowell,Left-Handed,77,190,0.154,2
Ray Burris,Right-Handed,77,200,0.151,1
Don Wilson,Right-Handed,74,195,0.146,1
Don Sutton,Right-Handed,73,185,0.144,0
Gary Nolan,Right-Handed,74,197,0.138,1
Steve Rogers,Right-Handed,74,175,0.138,0
Woodie Fryman,Right-Handed,75,197,0.138,2
Bob Knepper,Left-Handed,75,195,0.137,6
Larry Dierker,Right-Handed,76,215,0.136,4
Jim Lonborg,Right-Handed,77,200,0.136,3
Joe Horlen,Right-Handed,72,170,0.134,0
Denny McLain,Right-Handed,73,185,0.133,1
Dave McNally,Right-Handed,71,185,0.133,9
Randy Jones,Right-Handed,72,178,0.132,0
Mario Soto,Right-Handed,72,174,0.132,1
Gaylord Perry,Right-Handed,76,205,0.131,6
Denny Lemaster,Right-Handed,73,182,0.13,4
Al Downing,Right-Handed,71,175,0.127,2
Joaquin Andujar,Both-Handed,72,170,0.127,5
Fred Norman,Both-Handed,68,155,0.125,0
Burt Hooton,Right-Handed,73,210,0.123,4
Ray Culp,Right-Handed,72,200,0.123,1
Jerry Koosman,Right-Handed,74,205,0.119,2
Steve Barber,Left-Handed,72,195,0.115,5
Bob Veale,Both-Handed,78,212,0.114,0
Jack Billingham,Right-Handed,76,195,0.111,0
Mickey Lolich,Both-Handed,73,170,0.11,0
Vida Blue,Both-Handed,72,189,0.104,4
Dean Chance,Right-Handed,75,200,0.066,0
